Date,Price,Open,High,Low,Vol.,Change %
5/22/2014,"28,741.55","28,769.26","28,928.25","28,716.73",95.83M,-0.06%
5/23/2014,"28,756.00","28,757.96","28,843.34","28,719.39",68.69M,0.05%
5/26/2014,"29,020.48","28,755.14","29,040.86","28,755.14",71.28M,0.92%
5/27/2014,"29,048.21","29,024.96","29,175.69","29,016.95",122.51M,0.10%
5/28/2014,"28,987.32","29,057.99","29,142.79","28,963.38",142.97M,-0.21%
5/29/2014,"29,543.58","29,032.24","29,602.61","29,029.22",250.51M,1.92%
5/30/2014,"29,737.69","29,632.38","29,854.76","29,611.39",240.94M,0.66%
6/2/2014,"29,789.85","29,732.79","29,925.61","29,574.98",194.53M,0.18%
6/3/2014,"29,504.98","29,799.66","29,938.93","29,003.58",221.34M,-0.96%
6/4/2014,"29,452.23","29,524.93","29,649.25","29,328.29",175.66M,-0.18%
6/5/2014,"29,417.20","29,486.75","29,695.88","29,332.79",167.53M,-0.12%
6/6/2014,"29,509.11","29,422.21","29,720.55","29,422.21",144.84M,0.31%
6/9/2014,"29,472.52","29,559.30","29,689.00","29,442.72",90.11M,-0.12%
6/10/2014,"29,540.72","29,511.44","29,641.21","29,432.41",174.54M,0.23%
6/11/2014,"29,783.30","29,573.83","29,842.52","29,573.83",233.41M,0.82%
6/12/2014,"29,766.38","29,784.58","29,859.79","29,718.06",137.20M,-0.06%
6/13/2014,"29,730.86","29,775.35","29,845.86","29,713.68",134.25M,-0.12%
6/16/2014,"29,651.04","29,733.69","29,780.79","29,626.57",83.81M,-0.27%
6/17/2014,"29,324.60","29,666.18","29,787.27","29,296.55",88.47M,-1.10%
6/18/2014,"29,157.98","29,430.77","29,479.92","29,140.52",108.13M,-0.57%
6/19/2014,"28,674.37","29,159.17","29,212.99","28,553.91",138.96M,-1.66%
6/20/2014,"28,691.84","28,667.65","28,841.39","28,623.99",90.57M,0.06%
6/23/2014,"28,999.03","28,650.47","29,008.04","28,518.45",96.05M,1.07%
